;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67
0;74;76;80;53;58;71;40;73;70;69;68;71;79;78;78;67;90;71;85;79;56;62;68;67;60;66;59;76;75;78;14;7;9;9;12;24;182,88;187;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1;71;77;78;50;56;69;28;66;67;68;67;67;79;82;79;71;90;70;84;79;50;56;66;65;57;64;58;73;72;72;13;6;8;8;11;27;170,18;146;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2;65;67;64;58;60;66;52;66;67;63;62;67;77;74;85;51;92;61;65;66;71;57;60;55;64;68;61;23;22;24;16;11;12;9;13;25;170,18;163;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
3;69;69;57;21;68;65;48;56;38;40;61;62;33;34;62;57;41;59;71;49;90;29;70;62;26;54;37;72;71;68;15;12;13;12;11;34;182,88;198;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
4;67;67;56;20;67;64;47;55;37;39;60;61;37;40;63;56;44;64;73;59;81;28;68;61;25;53;36;66;68;65;14;11;12;11;10;37;182,88;154;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
5;70;70;46;34;73;65;33;47;42;25;58;58;33;31;41;68;52;48;67;60;75;26;66;68;29;41;45;75;73;71;8;6;16;12;11;30;182,88;161;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
6;77;77;77;72;64;79;77;78;77;76;70;79;75;69;76;80;72;76;65;75;65;76;59;55;77;76;81;28;34;35;15;12;7;16;15;21;172,72;146;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
7;61;74;48;32;47;64;34;54;56;40;64;63;69;67;60;61;80;53;71;68;59;38;75;54;39;61;42;52;58;57;8;13;14;14;15;29;165,1;139;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
8;61;76;48;32;47;64;34;54;56;40;64;63;69;67;60;61;80;53;71;68;59;38;75;54;39;61;42;52;58;57;8;13;14;14;15;23;190,5;181;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
9;48;56;12;15;16;23;14;15;14;18;18;22;15;26;31;45;24;26;38;18;44;12;21;19;14;15;41;15;15;12;53;41;39;51;53;29;175,26;170;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
